iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
89,0.9974,0.0,0.0026,286.1,41.83,1.0,0.0066,0.0109,0.0159,0.0369,0.2228,0.1949,1.2695,0.0,0.1285,0.1253,0.0
90,0.9977,0.0,0.0023,308.01,45.02,1.0,0.009,0.0129,0.016,0.0375,0.2233,0.1961,1.3288,0.0,0.1328,0.1294,-0.002
91,0.9976,0.0,0.0024,291.36,42.7,1.0,0.0052,0.0054,0.0157,0.0364,0.2221,0.1691,1.3183,0.0,0.1329,0.1298,-0.0004
92,0.9976,0.0,0.0024,278.95,40.15,1.0,0.0074,0.0123,0.0163,0.0379,0.2224,0.1958,1.2953,0.0,0.1307,0.1274,0.0
93,0.9978,0.0,0.0022,283.53,41.17,1.0,0.0079,0.011,0.0161,0.0377,0.2224,0.1876,1.2918,0.0,0.131,0.1277,-0.0011
94,0.9975,0.0,0.0025,298.83,43.48,1.0,0.0059,0.0073,0.0158,0.0367,0.2232,0.1741,1.3602,0.0,0.1374,0.1342,-0.0006
95,0.9976,0.0,0.0024,301.8,44.67,1.0,0.008,0.0132,0.0158,0.0376,0.2206,0.1956,1.3704,0.0,0.1375,0.1341,-0.0005
96,0.9974,0.0,0.0026,278.83,41.15,1.0,0.0072,0.0082,0.0157,0.0364,0.2204,0.1789,1.2469,0.0,0.1255,0.1225,-0.0015
97,0.9968,0.0,0.0032,291.42,41.91,1.0,0.0055,0.0058,0.0157,0.0362,0.2221,0.1665,1.3188,0.0,0.1344,0.1314,-0.0007
98,0.9964,0.0,0.0036,298.58,43.33,1.0,0.0065,0.0097,0.0155,0.0367,0.2224,0.1832,1.3277,0.0,0.1331,0.13,-0.0007
99,0.9967,0.0,0.0033,292.74,42.95,1.0,0.008,0.0107,0.0158,0.037,0.2206,0.187,1.2966,0.0,0.1294,0.1262,-0.001
100,0.9967,0.0,0.0033,264.35,38.75,1.0,0.0073,0.0092,0.0158,0.0367,0.2223,0.1796,1.2537,0.0,0.1261,0.123,-0.0011
101,0.9963,0.0,0.0037,288.57,42.4,1.0,0.0063,0.0097,0.0157,0.0371,0.2239,0.1848,1.3056,0.0,0.1301,0.127,0.0
102,0.9964,0.0,0.0036,277.24,39.41,1.0,0.0071,0.0116,0.0157,0.0371,0.223,0.1871,1.3372,0.0,0.1341,0.1309,-0.0007
103,0.9963,0.0,0.0037,238.41,33.88,1.0,0.0055,0.0082,0.0156,0.0367,0.2209,0.177,1.2846,0.0,0.1309,0.1279,0.0
104,0.9964,0.0,0.0036,256.23,36.57,1.0,0.0071,0.0104,0.0157,0.0371,0.2208,0.1893,1.2629,0.0,0.128,0.1248,-0.0006
105,0.9963,0.0,0.0037,266.8,38.17,1.0,0.0067,0.0112,0.0158,0.037,0.2218,0.1892,1.2926,0.0,0.1303,0.1271,0.0
106,0.9963,0.0,0.0037,266.7,38.29,1.0,0.0069,0.0098,0.016,0.0368,0.223,0.1824,1.3184,0.0,0.1325,0.1294,-0.0009
107,0.9959,0.0,0.0041,260.53,38.16,1.0,0.0054,0.0049,0.016,0.0361,0.2215,0.161,1.3305,0.0,0.1313,0.1283,-0.0013
108,0.9959,0.0,0.0041,286.56,41.59,1.0,0.0076,0.0109,0.0161,0.0372,0.2229,0.1899,1.3187,0.0,0.1315,0.1283,-0.0004
109,0.9961,0.0,0.0039,288.59,43.08,1.0,0.0053,0.007,0.0158,0.0366,0.2211,0.1721,1.3472,0.0,0.1349,0.1318,0.0
110,0.9964,0.0,0.0036,267.14,39.2,1.0,0.0083,0.0133,0.016,0.0373,0.2216,0.1977,1.3769,0.0,0.1358,0.1325,-0.0007
111,0.9964,0.0,0.0036,282.04,41.96,1.0,0.0091,0.015,0.0164,0.0375,0.2211,0.1994,1.3011,0.0,0.1306,0.1273,-0.001
112,0.9964,0.0,0.0036,266.24,38.44,1.0,0.0067,0.0098,0.016,0.037,0.2208,0.1824,1.3204,0.0,0.1335,0.1303,-0.0005
113,0.9963,0.0,0.0037,281.25,40.59,1.0,0.0087,0.0146,0.0162,0.0376,0.2208,0.1998,1.3254,0.0,0.1333,0.13,-0.001
114,0.9963,0.0,0.0037,270.09,38.3,1.0,0.0054,0.0076,0.016,0.0366,0.2221,0.177,1.2613,0.0,0.129,0.1259,0.0
115,0.9961,0.0,0.0039,272.7,39.39,1.0,0.005,0.0046,0.0159,0.0361,0.2212,0.1619,1.3216,0.0,0.1319,0.129,-0.0006
116,0.9962,0.0,0.0038,312.74,45.76,1.0,0.0071,0.0097,0.0159,0.0371,0.2217,0.1906,1.314,0.0,0.1319,0.1288,-0.0008
